Week #,Report #,Report Date,Futures Based On,Unfixed Call Sales,Chg Sales,Unfixed Call Purchases,Chg Purchases,At Close,Chg At Close,Yr,Month,Old/New,Report Year
6.0,6,02/11/2022,March 2022,15628,-14913,3918,-1658,26501,-51375,2022.0,3.0,old,2022
6.0,6,02/11/2022,May 2022,37559,8064,3713,22,109671,21760,2022.0,5.0,old,2022
6.0,6,02/11/2022,July 2022,53454,62,5496,35,52695,8160,2022.0,7.0,old,2022
6.0,6,02/11/2022,October 2022,0,0,0,0,214,166,2022.0,10.0,old,2022
6.0,6,02/11/2022,December 2022,24426,934,20181,1739,50690,9034,2022.0,12.0,new1,2022
6.0,6,02/11/2022,March 2023,3994,56,1285,380,6348,1080,2023.0,3.0,new1,2022
6.0,6,02/11/2022,May 2023,2988,216,17,0,1017,38,2023.0,5.0,new1,2022
6.0,6,02/11/2022,July 2023,3315,722,55,11,789,58,2023.0,7.0,new1,2022
6.0,6,02/11/2022,December 2023,1700,-27,6766,168,7405,353,2023.0,12.0,new2,2022
6.0,6,02/11/2022,July 2024,0,0,220,0,0,0,2024.0,7.0,new2,2022
6.0,6,02/11/2022,December 2024,0,0,220,0,0,0,2024.0,12.0,new3,2022
6.0,6,02/11/2022,Totals,143064,-4886,41871,697,255330,-10726,,,total,2022
7.0,7,02/18/2022,March 2022,184,-15444,66,-3852,237,-26264,2022.0,3.0,old,2022
7.0,7,02/18/2022,May 2022,44077,6518,6041,2328,111128,1457,2022.0,5.0,old,2022
7.0,7,02/18/2022,July 2022,53241,-213,5418,-78,56412,3717,2022.0,7.0,old,2022
7.0,7,02/18/2022,October 2022,0,0,0,0,43,-171,2022.0,10.0,old,2022
7.0,7,02/18/2022,December 2022,27421,2995,21378,1197,51963,1273,2022.0,12.0,new1,2022
7.0,7,02/18/2022,March 2023,4283,289,1745,460,6583,235,2023.0,3.0,new1,2022
7.0,7,02/18/2022,May 2023,3106,118,17,0,1152,135,2023.0,5.0,new1,2022
7.0,7,02/18/2022,July 2023,3997,682,320,265,1093,304,2023.0,7.0,new1,2022
7.0,7,02/18/2022,December 2023,1986,286,8288,1522,7670,265,2023.0,12.0,new2,2022
7.0,7,02/18/2022,July 2024,0,0,220,0,0,0,2024.0,7.0,new2,2022
7.0,7,02/18/2022,December 2024,0,0,220,0,1,1,2024.0,12.0,new3,2022
7.0,7,02/18/2022,Totals,138295,-4769,43713,1842,236282,-19048,,,total,2022
8.0,8,02/25/2022,March 2022,82,-102,66,0,121,-116,2022.0,3.0,old,2022
8.0,8,02/25/2022,May 2022,43010,-1067,5883,-158,109624,-1504,2022.0,5.0,old,2022
8.0,8,02/25/2022,July 2022,52846,-395,5374,-44,57964,1552,2022.0,7.0,old,2022
8.0,8,02/25/2022,October 2022,0,0,0,0,43,0,2022.0,10.0,old,2022
8.0,8,02/25/2022,December 2022,29793,2372,21941,563,52229,266,2022.0,12.0,new1,2022
8.0,8,02/25/2022,March 2023,4206,-77,1904,159,6784,201,2023.0,3.0,new1,2022
8.0,8,02/25/2022,May 2023,3159,53,39,22,1164,12,2023.0,5.0,new1,2022
8.0,8,02/25/2022,July 2023,4454,457,518,198,1417,324,2023.0,7.0,new1,2022
8.0,8,02/25/2022,December 2023,1978,-8,8460,172,7969,299,2023.0,12.0,new2,2022
8.0,8,02/25/2022,July 2024,0,0,220,0,0,0,2024.0,7.0,new2,2022
8.0,8,02/25/2022,December 2024,0,0,220,0,1,0,2024.0,12.0,new3,2022
8.0,8,02/25/2022,Totals,139528,1233,44625,912,237316,1034,,,total,2022
9.0,9,03/04/2022,March 2022,0,-82,66,0,50,-71,2022.0,3.0,old,2022
9.0,9,03/04/2022,May 2022,41604,-1406,6636,753,106692,-2932,2022.0,5.0,old,2022
9.0,9,03/04/2022,July 2022,51776,-1070,5168,-206,53028,-4936,2022.0,7.0,old,2022
9.0,9,03/04/2022,October 2022,0,0,0,0,35,-8,2022.0,10.0,old,2022
9.0,9,03/04/2022,December 2022,33231,3438,24045,2104,56034,3805,2022.0,12.0,new1,2022
9.0,9,03/04/2022,March 2023,4324,118,1891,-13,7911,1127,2023.0,3.0,new1,2022
9.0,9,03/04/2022,May 2023,3251,92,39,0,1211,47,2023.0,5.0,new1,2022
9.0,9,03/04/2022,July 2023,4799,345,492,-26,1519,102,2023.0,7.0,new1,2022
9.0,9,03/04/2022,December 2023,1950,-28,8548,88,8023,54,2023.0,12.0,new2,2022
9.0,9,03/04/2022,July 2024,0,0,220,0,0,0,2024.0,7.0,new2,2022
9.0,9,03/04/2022,December 2024,0,0,249,29,1,0,2024.0,12.0,new3,2022
9.0,9,03/04/2022,Totals,140935,1407,47354,2729,234504,-2812,,,total,2022
10.0,10,03/11/2022,March 2022,0,0,66,0,0,-50,2022.0,3.0,old,2022
10.0,10,03/11/2022,May 2022,40348,-1256,6533,-103,98488,-8204,2022.0,5.0,old,2022
10.0,10,03/11/2022,July 2022,51093,-683,5070,-98,47510,-5518,2022.0,7.0,old,2022
10.0,10,03/11/2022,October 2022,0,0,0,0,31,-4,2022.0,10.0,old,2022
10.0,10,03/11/2022,December 2022,36783,3552,23991,-54,60903,4869,2022.0,12.0,new1,2022
10.0,10,03/11/2022,March 2023,4815,491,2017,126,7917,6,2023.0,3.0,new1,2022
10.0,10,03/11/2022,May 2023,3251,0,39,0,1447,236,2023.0,5.0,new1,2022
